NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
42 ,13,3,  14.5%,  0.70%
42 ,13,4,  26.5%,  0.65%
42 ,13,5,  26.1%,  0.63%
42 ,13,6,   4.2%,  0.43%
42 ,13,7,  14.8%,  0.47%
42 ,14,1,   2.0%,  0.26%
42 ,14,2,  98.0%,  0.26%
42 ,15,1,   8.0%,  0.47%
42 ,15,2,  92.0%,  0.47%
42 ,16,1,  69.6%,  0.95%
42 ,16,2,  21.2%,  0.67%
42 ,16,3,  14.2%,  0.59%
42 ,16,4,   0.7%,  0.13%
42 ,16,5,   0.8%,  0.10%
42 ,16,6,   2.6%,  0.30%
42 ,16,7,   0.4%,  0.10%
42 ,16,8,   0.6%,  0.24%
42 ,16,9,   4.4%,  0.44%
42 ,16,10,   6.4%,  0.45%
42 ,16,11,  10.9%,  0.79%
42 ,16,12,   4.2%,  0.43%
42 ,16,13,   2.5%,  0.42%
42 ,16,14,  22.8%,  0.78%
42 ,17,1,  68.4%,  1.15%
42 ,17,2,  19.7%,  0.74%
42 ,17,3,   9.3%,  0.43%
42 ,17,4,   0.3%,  0.09%
42 ,17,5,   0.7%,  0.15%
42 ,17,6,   2.5%,  0.22%
42 ,17,7,   0.3%,  0.12%
42 ,17,8,   0.6%,  0.21%
42 ,17,9,  27.2%,  1.04%
42 ,18,1,  22.3%,  1.04%
42 ,18,2,  36.0%,  1.20%
42 ,18,3,  41.7%,  0.96%
42 ,19,1,  26.8%,  0.87%
42 ,19,2,  22.1%,  0.69%
42 ,19,3,  21.3%,  0.38%
42 ,19,4,  43.1%,  1.54%
42 ,19,5,   9.7%,  0.21%
42 ,19,6,  15.1%,  0.97%
42 ,19,7,   4.6%,  0.52%
42 ,19,8,  31.3%,  0.99%
42 ,20,1,   0.5%,  0.18%
42 ,20,2,   3.0%,  0.31%
42 ,20,3,  16.5%,  0.47%
42 ,20,4,  47.9%,  0.75%
42 ,20,5,   9.1%,  0.42%
42 ,20,6,   1.3%,  0.42%
42 ,20,7,  15.0%,  0.79%
42 ,20,8,   6.6%,  0.30%
44 ,2,1,  26.0%,  0.88%
44 ,2,2,  41.9%,  1.17%
44 ,2,3,  15.2%,  0.74%
44 ,2,4,  12.8%,  0.68%
44 ,2,5,   4.1%,  0.62%
44 ,3,1,   3.7%,  0.41%
44 ,3,2,   2.0%,  0.34%
44 ,3,3,   2.6%,  0.27%
44 ,3,4,   8.1%,  0.84%
44 ,3,5,  16.8%,  0.83%
44 ,3,6,  19.1%,  1.44%
44 ,3,7,  11.5%,  0.90%
44 ,3,8,  15.1%,  0.69%
44 ,3,9,  13.4%,  0.74%
44 ,3,10,   7.7%,  0.71%
44 ,4,1,  10.9%,  0.63%
44 ,4,2,  42.7%,  1.04%
44 ,4,3,  46.4%,  0.84%
44 ,5,1,   0.5%,  0.12%
44 ,5,2,   2.1%,  0.24%
44 ,5,3,   1.2%,  0.08%
44 ,5,4,  96.3%,  0.32%
44 ,6,1,   4.0%,  0.51%
44 ,6,2,   9.2%,  0.72%
44 ,6,3,  86.8%,  0.94%
44 ,7,1,   1.6%,  0.32%
44 ,7,2,  43.3%,  0.69%
44 ,7,3,  55.0%,  0.61%
44 ,8,1,   6.8%,  0.87%
44 ,8,2,  16.4%,  1.02%
44 ,8,3,  76.8%,  1.50%
44 ,9,1,   3.0%,  0.26%
44 ,9,2,   2.0%,  0.39%
44 ,9,3,  28.1%,  0.84%
44 ,9,4,  67.0%,  1.08%
44 ,10,1,  48.9%,  0.69%
44 ,10,2,  20.6%,  1.05%
44 ,10,3,  20.2%,  0.77%
44 ,10,4,   7.4%,  0.42%
44 ,10,5,  11.0%,  0.34%
44 ,10,6,  33.1%,  1.14%
44 ,10,7,  40.2%,  0.67%
44 ,11,1,   5.4%,  0.47%
44 ,11,2,  14.2%,  0.82%
44 ,11,3,   2.0%,  0.32%
44 ,11,4,  10.3%,  0.72%
44 ,11,5,  18.8%,  0.83%
44 ,11,6,   3.9%,  0.43%
44 ,11,7,  17.3%,  0.72%
44 ,11,8,  60.0%,  1.07%
44 ,12,1,   2.0%,  0.26%
44 ,12,2,   9.6%,  0.60%
44 ,12,3,  41.6%,  0.59%
44 ,12,4,  34.2%,  0.96%
44 ,12,5,  12.5%,  0.75%
44 ,13,1,   7.8%,  0.50%
44 ,13,2,  10.7%,  0.52%
44 ,13,3,  15.7%,  1.02%
44 ,13,4,  23.1%,  0.77%
44 ,13,5,  22.0%,  1.10%
44 ,13,6,   3.7%,  0.30%
44 ,13,7,  17.1%,  0.52%
44 ,14,1,   2.7%,  0.36%
44 ,14,2,  97.3%,  0.36%
44 ,15,1,   9.5%,  0.87%
44 ,15,2,  90.5%,  0.87%
44 ,16,1,  75.6%,  0.78%
44 ,16,2,  26.1%,  1.08%
44 ,16,3,  17.7%,  1.00%
44 ,16,4,   1.1%,  0.26%
44 ,16,5,   0.9%,  0.14%
44 ,16,6,   3.4%,  0.45%
44 ,16,7,   0.4%,  0.14%
44 ,16,8,   0.9%,  0.19%
44 ,16,9,   8.7%,  0.63%
44 ,16,10,   5.4%,  0.59%
44 ,16,11,  12.7%,  0.50%
44 ,16,12,   5.0%,  0.48%
44 ,16,13,   2.9%,  0.39%
44 ,16,14,  17.3%,  0.50%
